,city,n_tech_jobs,lat,lng,postdate_timespan,prevalent_job_type,size,color
100,"Benton Harbor, MI",1.0,40.6943,-73.9249,2,security,10.211988304093568,0.6666666666666666
101,"Bentonville, AR",2.0,37.3836,-122.0255,2,ai,10.423976608187134,0.6666666666666666
102,"Beresford, SD",1.0,39.5926,-104.8673,2,managment,10.211988304093568,0.6666666666666666
103,"Berkeley Heights, NJ",10.0,37.7558,-122.4449,2,other,12.119883040935672,0.6666666666666666
104,"Berkeley, CA",8.0,40.7184,-74.0686,2,other,11.695906432748538,0.6666666666666666
105,"Berlin, CT",3.0,40.6943,-73.9249,2,managment,10.635964912280702,0.6666666666666666
106,"Bernardsville, NJ",2.0,40.7268,-74.5918,2,managment,10.423976608187134,0.6666666666666666
107,"Bethel, CT",1.0,,,2,other,10.211988304093568,0.6666666666666666
108,"Bethesda, MD",44.0,38.9866,-77.1188,2,other,19.327485380116958,0.6666666666666666
109,"Bethlehem, PA",10.0,40.6266,-75.3679,2,other,12.119883040935672,0.6666666666666666
110,"Bethpage, NY",3.0,40.7834,-73.9662,2,other,10.635964912280702,0.6666666666666666
111,"Beverly Hills, CA",4.0,37.7558,-122.4449,2,other,10.847953216374268,0.6666666666666666
112,"Beverly, MA",6.0,42.5681,-70.8627,2,other,11.271929824561404,0.6666666666666666
113,"Billerica, MA",11.0,37.7558,-122.4449,2,other,12.331871345029239,0.6666666666666666
114,"Binghamton, NY",1.0,35.8324,-78.6429,2,ai,10.211988304093568,0.6666666666666666
115,"Birmingham, AL",8.0,41.4764,-81.6805,2,other,11.695906432748538,0.6666666666666666
116,"Blacksburg, VA",2.0,29.4632,-98.5238,2,other,10.423976608187134,0.6666666666666666
117,"Bloomfield Hills, MI",3.0,40.7061,-74.5568,2,other,10.635964912280702,0.6666666666666666
118,"Bloomfield, CT",32.0,40.7061,-74.5568,2,other,16.783625730994153,0.6666666666666666
119,"Bloomfield, NJ",2.0,,,2,managment,10.423976608187134,0.6666666666666666
120,"Bloomington, IL",3.0,37.7558,-122.4449,2,other,10.635964912280702,0.6666666666666666
121,"Bloomington, MN",6.0,41.0529,-74.0499,2,other,11.271929824561404,0.6666666666666666
122,"Blue Ash, OH",4.0,37.3012,-121.848,2,other,10.847953216374268,0.6666666666666666
123,"Blue Bell, PA",13.0,40.1474,-75.2687,2,other,12.755847953216374,0.6666666666666666
124,"Blythewood, SC",2.0,38.5676,-92.1759,2,other,10.423976608187134,0.6666666666666666
125,"Boca Raton, FL",11.0,38.1663,-85.6485,2,managment,12.331871345029239,0.6666666666666666
126,"Bogart, GA",2.0,33.7628,-84.422,2,ai,10.423976608187134,0.6666666666666666
127,"Boise, ID",9.0,33.7628,-84.422,2,other,11.907894736842104,0.6666666666666666
128,"Bolingbrook, IL",3.0,41.6901,-88.1021,2,other,10.635964912280702,0.6666666666666666
129,"Bolivar, MO",3.0,36.2333,-115.2654,2,other,10.635964912280702,0.6666666666666666
130,"Bolling Afb, VA",1.0,39.2088,-76.6626,2,other,10.211988304093568,0.6666666666666666
131,"Boone, IA",1.0,,,2,other,10.211988304093568,0.6666666666666666
132,"Boston, MA",606.0,42.3188,-71.0852,2,other,138.46491228070175,0.6666666666666666
